timestamp,ps_traffic_volume_gb
29/12/2024,1899.0604
30/12/2024,1794.2456
31/12/2024,1847.9304
01/01/2025,1835.7721
02/01/2025,1796.4497999999999
03/01/2025,1750.4654
04/01/2025,1864.2629
05/01/2025,1837.1035
06/01/2025,1765.6053000000002
07/01/2025,1772.1828
08/01/2025,1793.9605999999999
09/01/2025,1690.0809
10/01/2025,1747.3636
11/01/2025,1739.908
12/01/2025,1766.8868
13/01/2025,1834.5046
14/01/2025,1799.0303
15/01/2025,1735.3759
16/01/2025,1730.5749
17/01/2025,1740.6218
18/01/2025,1653.9309
19/01/2025,1709.1351
20/01/2025,1664.9839
21/01/2025,1633.0333
22/01/2025,1694.6702
23/01/2025,1693.2712999999999
24/01/2025,1676.6034
25/01/2025,1767.0935
26/01/2025,1738.7107
27/01/2025,1663.9943
28/01/2025,1714.1165
29/01/2025,1754.0815
30/01/2025,1734.6401
31/01/2025,1685.519
01/02/2025,1785.3889
02/02/2025,1750.4304
03/02/2025,1705.9566
04/02/2025,1654.56
05/02/2025,1728.7221
06/02/2025,1728.1249
07/02/2025,1734.0197
08/02/2025,1815.7498
09/02/2025,1753.7658000000001
10/02/2025,1710.3382
11/02/2025,1756.0046
12/02/2025,1752.8639
13/02/2025,1687.4745
14/02/2025,1656.9695
15/02/2025,1754.2292
16/02/2025,1791.2527
17/02/2025,1861.7662
18/02/2025,1859.1263
19/02/2025,1824.1218
20/02/2025,1857.7454
21/02/2025,1858.4014
22/02/2025,1925.6407
23/02/2025,1810.4004
24/02/2025,1828.6324
25/02/2025,1812.5774000000001
26/02/2025,1797.3766
27/02/2025,1841.7337
28/02/2025,1688.0963
01/03/2025,1733.531
02/03/2025,1740.4663
03/03/2025,1766.9785
04/03/2025,1801.8552
05/03/2025,1810.2672
06/03/2025,1787.6716999999999
07/03/2025,1970.058
08/03/2025,1929.3585
09/03/2025,1908.2465
10/03/2025,1910.5956
11/03/2025,1868.0394
12/03/2025,1928.8145
13/03/2025,1867.6983
14/03/2025,1837.3155
15/03/2025,1906.2828
16/03/2025,1935.9368
17/03/2025,1912.8294
18/03/2025,1948.1773
19/03/2025,2004.7536
20/03/2025,1965.7142999999999
21/03/2025,1852.6775
22/03/2025,1928.7029
23/03/2025,1913.3157
24/03/2025,1933.6414
25/03/2025,1924.0244
26/03/2025,1934.7571
27/03/2025,1909.3299
28/03/2025,1757.5414
29/03/2025,1799.3883
30/03/2025,1801.5666999999999
31/03/2025,1940.2066
01/04/2025,1978.9442
