timestamp,ps_traffic_volume_gb
28/12/2024,2475.6330000000003
29/12/2024,2533.8256
30/12/2024,2463.4962
31/12/2024,2465.2389
01/01/2025,2521.1276
02/01/2025,2488.3604
03/01/2025,2390.2254
04/01/2025,2483.7885
05/01/2025,2490.7787
06/01/2025,2570.2799
07/01/2025,2522.0357
08/01/2025,2451.6495
09/01/2025,2486.9659
10/01/2025,2324.1335
11/01/2025,2411.3803
12/01/2025,2593.6003
13/01/2025,2526.2015
14/01/2025,2490.2786
15/01/2025,2459.2984
16/01/2025,2546.7416
17/01/2025,2286.9855
18/01/2025,2297.7779
19/01/2025,2458.8697
20/01/2025,2471.0196
21/01/2025,2504.6059
22/01/2025,2414.4587
23/01/2025,2420.3479
24/01/2025,2321.6875
25/01/2025,2489.1343
26/01/2025,2515.9114
27/01/2025,2470.2852000000003
28/01/2025,2436.2264
29/01/2025,2477.5805
30/01/2025,2363.6551
31/01/2025,2193.1651
01/02/2025,2303.6082
02/02/2025,2391.2067
03/02/2025,2331.2731
04/02/2025,2337.214
05/02/2025,2416.4431
06/02/2025,2243.7736
07/02/2025,2056.7881
08/02/2025,2192.4064
09/02/2025,2155.0705
10/02/2025,2200.0622
11/02/2025,2150.471
12/02/2025,2220.8527
13/02/2025,2142.3112
14/02/2025,2002.6702
15/02/2025,2151.0661999999998
16/02/2025,2158.0465
17/02/2025,2248.6343
18/02/2025,2276.9076
19/02/2025,2189.9232
20/02/2025,2146.6101
21/02/2025,2011.4468
22/02/2025,2175.2847
23/02/2025,2110.7378
24/02/2025,2105.7981
25/02/2025,2100.3504
26/02/2025,2099.0797000000002
27/02/2025,2162.9355
28/02/2025,2023.2108
01/03/2025,1885.5612
02/03/2025,2081.9914
03/03/2025,2137.6977
04/03/2025,2253.781
05/03/2025,2085.9994
06/03/2025,1978.2332000000001
07/03/2025,2058.1914
08/03/2025,2165.0781
09/03/2025,2109.4711
10/03/2025,2013.5174
11/03/2025,2120.7778
12/03/2025,2111.0096
13/03/2025,2114.2004
14/03/2025,2047.7999
15/03/2025,2050.1719
16/03/2025,2087.5606
17/03/2025,2033.019
18/03/2025,1995.2539
19/03/2025,1987.5683
20/03/2025,1974.9995999999999
21/03/2025,1820.1677
22/03/2025,1875.6943
23/03/2025,1997.7949
24/03/2025,1962.1642
25/03/2025,1993.2567
26/03/2025,1966.4948
27/03/2025,1941.041
28/03/2025,1794.8332
29/03/2025,1919.9835
30/03/2025,1923.5289
31/03/2025,2043.496
01/04/2025,1919.9124
02/04/2025,2053.1552
03/04/2025,2050.9458
04/04/2025,2015.9126
05/04/2025,2238.2994
06/04/2025,2178.1889
07/04/2025,2159.4791999999998
08/04/2025,2136.4028
09/04/2025,2174.6651
10/04/2025,2078.9907
11/04/2025,1926.3485
12/04/2025,2050.8334
13/04/2025,1994.1438
14/04/2025,1960.9413
15/04/2025,2022.6551
16/04/2025,2066.2955
17/04/2025,1979.3515
18/04/2025,1924.7716
19/04/2025,1865.2161
20/04/2025,2033.8172
21/04/2025,1963.8316
22/04/2025,2006.4411
23/04/2025,1974.5805
24/04/2025,1968.7495
25/04/2025,1869.9367
26/04/2025,1959.51
27/04/2025,2085.2959
28/04/2025,2039.2160000000001
29/04/2025,2034.2452
30/04/2025,2026.4383
01/05/2025,1932.9475
02/05/2025,1887.8085
03/05/2025,1870.5693
04/05/2025,2013.7012
05/05/2025,2008.2413999999999
06/05/2025,2175.2203
07/05/2025,2038.8088
08/05/2025,2105.3596000000002
09/05/2025,2013.4325
10/05/2025,2051.0331
11/05/2025,2107.162
12/05/2025,2024.3667
13/05/2025,2108.4463
14/05/2025,2267.6182
15/05/2025,2087.7136
16/05/2025,1982.9349
17/05/2025,2139.6243
18/05/2025,2143.3021
19/05/2025,2005.3769
20/05/2025,1976.8057
21/05/2025,2059.497
22/05/2025,2101.8956
23/05/2025,1879.0015
24/05/2025,2045.0286
25/05/2025,2086.9385
26/05/2025,2076.7708000000002
27/05/2025,1984.0430999999999
28/05/2025,2073.7867
29/05/2025,2121.1563
30/05/2025,1841.0776
31/05/2025,2041.0091
01/06/2025,2083.2934999999998
02/06/2025,2001.5330000000001
03/06/2025,1946.9608
04/06/2025,1887.3638999999998
05/06/2025,1562.802
06/06/2025,1451.0175
07/06/2025,1567.663
08/06/2025,1725.2764
09/06/2025,1826.0019
10/06/2025,1846.0161
11/06/2025,1887.1436
12/06/2025,1857.5135
13/06/2025,1730.2547
14/06/2025,2028.4055
15/06/2025,2033.1254000000001
16/06/2025,1894.4091
17/06/2025,1841.3335
18/06/2025,1857.5181
19/06/2025,1754.3755
20/06/2025,1573.5052
21/06/2025,1669.3725
22/06/2025,1803.3201999999999
23/06/2025,1701.3715
24/06/2025,1727.8987
