eNodeB,Feature,Min,Max,Mean,Std. Deviation,Variance,Skewness,Kurtosis,Sum,Median,Missing,Row count
TRI022L,ps_traffic_volume_gb,1249.5764,2632.1006,1993.7272143958867,245.8209589675117,60427.943867707065,0.3196424940827045,-0.0931664906494789,775559.8864,1974.9995999999999,0,389
TRI022L,ul_prb_util_%,0.09400666666666667,0.1882,0.1450837789203085,0.01979077504813747,0.0003916747770059806,0.2620316970732871,-0.819853946172469,56.43759,0.1408866666666667,0,389
TRI022L,dl_prb_available_bandwidth,77.0,100.0,96.74670094258784,5.649827400476896,31.92054965517952,-1.2894450886618984,-0.005938810679820161,37634.46666666667,100.0,0,389
TRI022L,mean_no_rrc_users,316.6208,721.196,507.71604858611823,80.34253780737137,6454.923381328897,0.6289714028514317,0.2867905206907526,197501.5429,491.1605,0,389
TRI022L,max_active_no_users_uplane,337.0,974.0,537.2005141388174,78.60160474046454,6178.212267776216,0.9559236214039999,2.101112615407586,208971.0,523.0,0,389
TRI022L,rrc_success_rate_%,0.9838533333333334,0.9998333333333334,0.9991830891173951,0.001731145486479832,2.996864695359494e-06,-6.74972453907342,46.04748128111795,388.6822216666667,0.9994533333333333,0,389
TRI022L,erab_setup_success_rate_%,0.97764,0.99976,0.9987414867180806,0.0016133329771442135,2.6028432951410114e-06,-8.821932598640368,100.5469976506288,388.51043833333335,0.9990933333333333,0,389
TRI022L,erab_drop_rate_%,6.666666666666667e-05,0.009283333333333333,0.00046748500428449015,0.0007330048038826886,5.372960425150988e-07,9.604917039060064,105.03060120843948,0.18185166666666666,0.0003933333333333333,0,389
TRI022L,rrc_drop_rate_%,0.00010666666666666667,0.2642333333333333,0.0032566195372750644,0.019063534961048484,0.00036341836521111787,10.491860038118945,122.46298142346697,1.266825,0.0005083333333333334,0,389
TRI022L,cell_ul_bler_rate_%,0.04827333333333333,0.08048333333333334,0.060245685518423304,0.004864148104801066,2.3659936785439803e-05,0.9644645703241174,3.913135383046594,23.435571666666664,0.06061333333333333,0,389
TRI022L,cell_dl_bler_rate_%,0.07329166666666666,0.09579166666666666,0.08132032133676093,0.0037168249724925666,1.3814787876144368e-05,1.2935957836300438,5.422853318902831,31.633605,0.08148666666666667,0,389
TRI022L,dl_avg_mcs,8.275,9.537333333333333,8.769832047986291,0.2738065262473492,0.07497001381564031,0.24098555827706317,-0.6849419680492352,3411.464666666667,8.759333333333332,0,389
TRI022L,ul_avg_mcs,13.891666666666666,17.573333333333334,15.546557840616966,0.8665190889314616,0.7508553314826102,0.3166503800627497,-0.6947438406977247,6047.611,15.502666666666666,0,389
TRI022L,avg_cqi,8.611158333333334,9.48354,9.012921276778064,0.20373515903999004,0.041508015029050035,-0.12563256834328335,-0.784537761400288,3506.0263766666667,9.042286666666666,0,389
TRI022L,avg_ta_km,0.33166666666666667,0.5033333333333333,0.40164867180805486,0.04198209938149398,0.0017624966684776369,0.8933038729042792,-0.4086868806793573,156.24133333333333,0.39066666666666666,0,389
TRI022L,avg_rssi_dbm,-87.00065333333333,-82.00056666666667,-84.1434360411311,0.9414459210841043,0.8863204223258975,0.10495801306964493,-0.5816483848586156,-32731.796619999997,-84.27340000000001,0,389
TRI022L,outgoing_ho_success_rate_%,0.9785799999999999,0.99842,0.9964153898886033,0.0019677743358930797,3.87213583699945e-06,-4.69797592736158,29.306047663041902,387.6055866666667,0.9967866666666667,0,389
TRI022L,intra_rat_ho_success_rate_%,0.9838333333333333,0.9987933333333333,0.9965868551842331,0.0013459370339308353,1.8115464993065346e-06,-3.516673396342197,24.175876454637518,387.67228666666665,0.9969066666666666,0,389
TRI022L,no_ping_pong_ho_count,0.0,73142.0,12076.817480719794,21769.25731677168,473900564.1238174,1.3512324396310222,0.061474629313929,4697882.0,0.0,0,389
TRI055L,ps_traffic_volume_gb,359.4758,1551.4877,1265.5672118556702,100.81607231704052,10163.880437434744,-2.705516159921246,21.943297970485997,491040.0782,1268.4965499999998,0,388
TRI055L,ul_prb_util_%,0.18836666666666668,0.32653333333333334,0.22329875429553264,0.017656558035304817,0.0003117540416540871,1.1262373146540707,2.785099391074328,86.63991666666666,0.21991666666666665,0,388
TRI055L,dl_prb_available_bandwidth,60.0,100.0,96.9201030927835,5.640505776586085,31.815305415701,-1.7200296792225624,3.7449037344526386,37605.0,100.0,0,388
TRI055L,mean_no_rrc_users,287.2976,457.24170000000004,358.9396690721649,22.744938626481282,517.3322331224002,1.2016160889760192,2.402280693683984,139268.59159999999,354.68435,0,388
TRI055L,max_active_no_users_uplane,298.0,629.0,390.28092783505156,32.83457790369235,1078.109506113642,3.111248164066543,16.091922217057157,151429.0,385.0,0,388
TRI055L,rrc_success_rate_%,0.9863666666666666,0.9998,0.9993067439862545,0.0007099652992461774,5.040507261337143e-07,-15.751758511249056,286.6578384719879,387.73101666666673,0.9993833333333333,0,388
TRI055L,erab_setup_success_rate_%,0.9772500000000001,0.9995166666666666,0.9987073453608247,0.0017370404513340246,3.017309529570712e-06,-9.92528144392926,106.77541741823515,387.49845,0.9989333333333333,0,388
TRI055L,erab_drop_rate_%,0.00016666666666666666,0.02055,0.0007581615120274915,0.0010921768369428673,1.1928502431545266e-06,15.957586947318017,282.57524134232983,0.2941666666666667,0.0007166666666666667,0,388
TRI055L,rrc_drop_rate_%,0.00016666666666666666,0.02345,0.0008641752577319588,0.0020829299057964416,4.3385969924611725e-06,9.008154133606316,86.13401047245819,0.33530000000000004,0.0005833333333333333,0,388
